,Z-Normalized,Ours (1),Ours (2),Ours (5),Ours(10),Ours (combined),"Ours (FordA, 5)",,HIVE-COTE,ST,BOSS,EE,DTW,FCN,TimeNet,RWS
GestureMidAirD2,N,0.531,0.585,0.523,0.508,0.562,0.492,,,,,,0.608,,,
GestureMidAirD3,N,0.323,0.323,0.285,0.3,0.315,0.223,,,,,,0.323,,,
GesturePebbleZ1,N,0.791,0.866,0.86,0.802,0.82,0.494,,,,,,0.791,,,
GesturePebbleZ2,N,0.867,0.81,0.854,0.905,0.88,0.525,,,,,,0.671,,,
GunPointAgeSpan,N,0.991,0.991,0.984,0.997,0.991,0.981,,,,,,0.918,,,
GunPointMaleVersusFemale,N,0.994,0.994,0.997,0.997,0.994,0.997,,,,,,0.997,,,
GunPointOldVersusYoung,N,1,0.902,1,1,1,1,,,,,,0.838,,,
HouseTwenty,N,0.924,0.958,0.95,0.932,0.966,0.95,,,,,,0.924,,,
InsectEPGRegularTrain,N,1,1,1,1,1,1,,,,,,0.872,,,
InsectEPGSmallTrain,N,1,1,1,1,1,1,,,,,,0.735,,,
MelbournePedestrian,N,0.944,0.94,0.935,0.943,0.953,0.922,,,,,,0.791,,,
MixedShapesRegularTrain,Y,0.906,0.909,0.92,0.905,0.921,0.88,,,,,,0.842,,,
MixedShapesSmallTrain,Y,0.849,0.824,0.852,0.866,0.865,0.808,,,,,,0.78,,,
PickupGestureWiimoteZ,N,0.84,0.84,0.76,0.78,0.86,0.76,,,,,,0.66,,,
PigAirwayPressure,N,0.529,0.606,0.63,0.659,0.644,0.135,,,,,,0.106,,,
PigArtPressure,N,0.928,0.938,0.928,0.918,0.938,0.361,,,,,,0.245,,,
PigCVP,N,0.688,0.769,0.846,0.889,0.856,0.37,,,,,,0.154,,,
PLAID,N,0.518,0.574,0.567,0.54,0.542,0.447,,,,,,0.84,,,
PowerCons,N,0.983,0.944,0.939,0.928,0.944,0.922,,,,,,0.878,,,
Rock,N,0.68,0.6,0.62,0.6,0.64,0.42,,,,,,0.6,,,
SemgHandGenderCh2,N,0.848,0.903,0.862,0.831,0.885,0.802,,,,,,0.802,,,
SemgHandMovementCh2,N,0.729,0.747,0.769,0.804,0.807,0.467,,,,,,0.584,,,
SemgHandSubjectCh2,N,0.822,0.867,0.858,0.878,0.904,0.567,,,,,,0.727,,,
ShakeGestureWiimoteZ,N,0.92,0.9,0.88,0.9,0.9,0.9,,,,,,0.86,,,
SmoothSubspace,N,0.96,0.967,0.96,0.933,0.993,0.92,,,,,,0.827,,,
UMD,N,1,1,0.993,0.993,1,0.986,,,,,,0.993,,,
